City,Provinsi,Cabang,Alamat,lat,lon
Jakarta Barat,DKI Jakarta,KCU ASEMKA,"Jln. Asemka 27-30  Jakarta Barat, JK 11110",-6.139158,106.8109923
Jakarta Barat,DKI Jakarta,KCU DAAN MOGOT,"Jln. Daan Mogot No. 95  Jakarta Barat, JK 11460",-6.1618759,106.7707701
Jakarta Barat,DKI Jakarta,KCU GAJAH MADA,"Jln. Gajah Mada 112 B-C-D  Jakarta Barat, JK 11120",-6.1531621,106.8149441
Jakarta Barat,DKI Jakarta,KCU GREEN GARDEN,"Perum. Green Garden  Blok A.7 No.33-34  Jakarta Barat, JK 11520",-6.165251,106.7606138
Jakarta Barat,DKI Jakarta,KCU KEDOYA PERMAI,"Ruko Taman Kedoya Permai  Blok A 1A No.4-5, 1B, 2A, 2B  Jakarta Barat, JK 11530",-6.191017,106.7563473
Jakarta Barat,DKI Jakarta,KCU PURI INDAH,"Gedung C3 LT.1-3  Komplek Puri Indah Blok 02 No.1-3  Kembangan  Jakarta Barat, JK 11610",-6.1853335,106.7513029
Jakarta Barat,DKI Jakarta,KCU TAMAN DUTA MAS,"Jln. Tubagus Angke No. 10 ABC dan 11 H  Jakarta Barat, JK 11460",-6.1442749,106.7787297
Jakarta Barat,DKI Jakarta,KCU WISMA ASIA,"Wisma Asia  Jln. S. Parman Kav. 79  Jakarta Barat, JK 11420",-6.1891343,106.7953647
Jakarta Barat,DKI Jakarta,KCP Angke,"Jln. Tubagus Angke No. 37. Jakarta Barat, 11320",-6.1421622,106.8029518
Jakarta Barat,DKI Jakarta,KCP Arjuna,"Jl.Arjuna Utara No.7D-E. Jakarta Barat, 11510",-6.1858168,106.777722
Jakarta Barat,DKI Jakarta,KCP Bandengan Utara Raya,"Jln. Bandengan Utara Raya 1A. Jakarta Barat, 11240",-6.135781,106.8040903
Jakarta Barat,DKI Jakarta,KCP Bina Nusantara,"Kamp.II Univ.Bina Nusantara,Jln.Anggrek Cakra 10 Kebon Jeruk. Jakarta Barat, 11530",-6.2020157,106.7793067
Jakarta Barat,DKI Jakarta,KCP Bojong Indah,"Komp. Bojong Indah Cengkareng, Jln. Pakis Raya 88 H. Jakarta Barat, 11740",-6.1620792,106.7390509
Jakarta Barat,DKI Jakarta,KCP Business Park,"Rukan Business Park Blok B-1 & B-2, Jln. Meruya Ilir No. 88. Jakarta Barat, 11620",-6.198311,106.7600623
Jakarta Barat,DKI Jakarta,KCP Cengkeh,"Jln. Cengkeh 21-21A. Jakarta Barat, 11110",-6.1322908,106.8101482
Jakarta Barat,DKI Jakarta,KCP Central Park,"Komplek Central Park Ruko Garden Shopping Arcade Blok Beaufort 8 nomor EC. Jakarta Barat, 11470",-6.1764836,106.7881283
