City,Provinsi,Cabang,Alamat
Jakarta Pusat,DKI Jakarta,KP Jakarta Menara BTN,Gedung Menara BTN Jl. Gajah Mada No. 1 – Jakarta Pusat 10130
Jakarta Pusat,DKI Jakarta,KC Jakarta Harmoni,Menara Bank BTN Jln. Gajah Mada No. 1 Jakarta Pusat 10130
Jakarta Pusat,DKI Jakarta,KCP Cempaka Mas,Komp Ruko Mega Grosir Cempaka Mas Blok A No 26 Jl. Jend Suprapto Jak-Pus 10640
Jakarta Pusat,DKI Jakarta,KCP Cikini,Jl. Raden Saleh Raya No. 12 B Jakarta Pusat 10430
Jakarta Pusat,DKI Jakarta,KCP Jakarta Harmoni,"Gedung Kantor Pos Besar Pasar Baru , Jakarta Pusat Jl. Gedung Kesenian No. 2 , Jakarta Pusat 10130"
Jakarta Pusat,DKI Jakarta,KCP Kemayoran,Jl. Garuda No. 29 B Kemayoran Jakarta Pusat
Jakarta Pusat,DKI Jakarta,KCP Palmerah,Jl. Palmerah Barat No. 39 C Jakarta Pusat 10270
Jakarta Pusat,DKI Jakarta,KCP Pasar Tanah Abang,Jln. KH. Fachrudin Proyek Tanah Abang Bukit Blok C No. 41 Jakarta Pusat
Jakarta Pusat,DKI Jakarta,KCP Roxy Mas,"Komplek Ruko Roxy Mas Blok D2 No. 2, Jl KH Hasyim Ashari Jakarta Pusat 10150"
Jakarta Pusat,DKI Jakarta,KCP Sudirman,"Gedung Nugra Sentana – Lantai Dasar, Jl. Jend Sudirman Kav 7 – 8 Jakarta 10220"
Jakarta Pusat,DKI Jakarta,KCP Tanah Abang,Jl. KH Mas Mansyur No. 86 Tanah Abang Jakarta 10230
Jakarta Pusat,DKI Jakarta,Kantor Layanan Setingkat KCP Pasar Baru,Gedung Kantor Pos Besar Pasar Baru Jakarta Pusat Jln. Lapangan Banteng No. 1 Jakarta Pusat 10130
Jakarta Pusat,DKI Jakarta,KK Bendungan Hilir,"Jl. Bendungan Hilir Raya Blok. A No. 11 Kel. Benhil, Kec. Tanah Abang Jakarta Pusat"
Jakarta Pusat,DKI Jakarta,KK Biak,"Jl. Biak No. 71 Kel. Cideng, Kec. Gambir Jakarta Pusat"
Jakarta Pusat,DKI Jakarta,KK Cempaka Putih Permai,"Jl. Letjen Suprapto, Perum Cempaka Putih Permai Blok A6 , Jakarta Pusat"
Jakarta Pusat,DKI Jakarta,KK Cideng Barat,Jln. Cideng Barat No. 88A Cideng Kec. Gambir Jakarta Pusat
Jakarta Pusat,DKI Jakarta,KK Gajah Mada,"Jln. Gajah Mada No. 64 Kel. Kebon Sirih, Kec. Menteng Jakarta Pusat"
Jakarta Pusat,DKI Jakarta,KK Glodok Jaya,Komp. Ruko Glodok Plaza B No. 21 Jakarta Pusat
Jakarta Pusat,DKI Jakarta,KK Hasyim Azhari,Jl.KH.Hasyim Azhari No.12C Kec.Gambir – Jakarta Pusat
Jakarta Pusat,DKI Jakarta,KK Istana Pasar Baru,"Gedung Istana Pasar Baru Lt. 1 No. 41 B Jl. Pintu Air Raya No. 58-64 Pasar Baru, Jakarta Pusat"
Jakarta Pusat,DKI Jakarta,KK LPO Cikini,Jl. Cikini Raya Jakarta Pusat
Jakarta Pusat,DKI Jakarta,KK LPO Jakarta Cempaka Putih,"Jl. A. Yani By Pass, Jakarta Pusat"
Jakarta Pusat,DKI Jakarta,KK LPO Jakarta Perunggu,Jl. Perunggu No.1 Jakarta Pusat
Jakarta Pusat,DKI Jakarta,KK LPO Jakarta Pusat,Jl. Lapangan Banteng No. 1 Jakarta Pusat
Jakarta Pusat,DKI Jakarta,KK LPO JKT Gang Tengah,"Jl. Cempaka Putih Tengah XXVI, Jakarta Pusat"
Jakarta Pusat,DKI Jakarta,KK LPO Menteng,Jl. Sumenep No.9 Jakarta Pusat 10310
Jakarta Pusat,DKI Jakarta,KK LPO Sumur Batu,Jl.Biduri Bulan I No.14 Jakarta Pusat 10640
Jakarta Pusat,DKI Jakarta,KK Mediterania Palace,Apartemen Mediterania Palace Residence Blok B/OR/E Jln. Landas Pacu Utara Selatan Blok A1 Kav. 2 Jakarta Pusat
Jakarta Pusat,DKI Jakarta,KK Pangeran Jayakarta,"Jln. Pangeran Jayakarta No. 133/135 Blok A/8, Sawah Besar Jakarta Pusat"
Jakarta Pusat,DKI Jakarta,KK Percetakan Negara,"Jl. Percetakan Negara 641 A Rawasari, Jakarta Pusat"
Jakarta Pusat,DKI Jakarta,KK Sawah Besar,Jln. Sukaryo Wiryopranoto No. 14B Kec. Gambir Jakarta Pusat 10120
Jakarta Pusat,DKI Jakarta,KK Taman Solo,Jln. Cempaka Putih Raya No. 20C Cempaka Putih Timur Jakarta Pusat
Jakarta Pusat,DKI Jakarta,KK Wahid Hasyim,"Jln. Wahid Hasyim No. 10 Kel. Kebon Sirih, Kec. Menteng Jakarta Pusat"
Jakarta Pusat – Syariah,DKI Jakarta,KCS Jakarta Harmoni,"Jl. Suryo Pranoto No. 9 B-D,  Kel. Petojo Selatan Kec. Gambir  Jakarta Pusat 10130"
Jakarta Pusat – Syariah,DKI Jakarta,KLS Cempaka Mas,"Komplek Ruko Graha Cempaka Mas Blok A No. 26  Jl. Letjend Suprapto, Cempaka Putih,  Jakarta Pusat 10510 "
Jakarta Pusat – Syariah,DKI Jakarta,KLS Cikini,Jl. Raden Saleh Raya No. 12 B  Jakarta Pusat 10430
Jakarta Pusat – Syariah,DKI Jakarta,KLS KCP ITC Mangga Dua,"ITC mangga Dua Lt. I Blok D No.48A-B  Jl. Mangga Dua Raya,  Jakarta Pusat 10630"
Jakarta Pusat – Syariah,DKI Jakarta,KLS Kemayoran,"Komp. Rusun Kemayoran Blok Dakota 1B No. 103,  Jakarta Pusat 10360"
Jakarta Pusat – Syariah,DKI Jakarta,KLS Pal Merah,Jl. Palmerah Barat No. 39 C  Jakarta Pusat 10270
Jakarta Pusat – Syariah,DKI Jakarta,KLS Tanah Abang,"Jl. KH Mas Mansyur No. 86,  Tanah Abang,  Jakarta Pusat 10230"
Jakarta Barat,DKI Jakarta,KC Jakarta Kebon Jeruk,"Jl. Anggrek No. 01 Kel. Kelapa Dua, Kec. Kebon Jeruk Kebon Jeruk, Jakarta Barat 11550"
Jakarta Barat,DKI Jakarta,KCP Daan Mogot Baru,"Jl. Tampak Siring Raya Blok KJH No. 1 Daan Mogot Baru, Jakarta Barat"
Jakarta Barat,DKI Jakarta,KCP Kemanggisan,"Ruko Komplek Budhi Square, Jl. Budi Raya No. 7H , Kemanggisan Palmerah – Jakarta Barat"
Jakarta Barat,DKI Jakarta,KCP Kembangan,"Komp. Ruko Puri Indah Blok I No. 10, Kembangan – Jakarta Barat"
Jakarta Barat,DKI Jakarta,KCP Taman Palm,"Komplek Perum Taman Palem Lestari, Blok. D.1 No.15 – Cengkareng, Jakarta Barat"
Jakarta Barat,DKI Jakarta,KCP Tanjung Duren,"Jl. Tanjung Duren Raya No. 362 A, Tanjung Duren Jakarta Barat"
Jakarta Barat,DKI Jakarta,KK Asemka,"Jln. Pasar Pagi No. 30 Kel. Roa Malaka, Kec. Tambora Jakarta Barat"
Jakarta Barat,DKI Jakarta,KK Cengkareng Timur,"Rukan Hawai Blok A 117 Cengkareng Timur , Cengkareng Jakarta Barat"
Jakarta Barat,DKI Jakarta,KK Intercon,"Jl. Meruya Raya No. 9 Kel. Srengseng, Kec. Kembangan Jakarta Barat 11630"
Jakarta Barat,DKI Jakarta,KK Jembatan Dua,Jl. Jembatan Dua No. 5G Jakarta Barat
Jakarta Barat,DKI Jakarta,KK Jembatan Lima,"Jl. Kyai H. Mas Mansyur No. 202 J Jakarta Barat , Jakarta"
Jakarta Barat,DKI Jakarta,KK Kedoya,"Ruko Green Garden Blok A7 No. 36 Kedoya Utara , Jakarta Barat"
Jakarta Barat,DKI Jakarta,KK LPO Cengkareng,"Jl. Bangun Nusa No.14 Jakarta 11730 , Jakarta Barat"
Jakarta Barat,DKI Jakarta,KK LPO Jakarta Barat,"Jl. Daan Mogot No.20 , Jakarta Barat"
Jakarta Barat,DKI Jakarta,KK LPO JKB Grogol,"Jl. Dr.Susilo Raya no.1 , Jakarta Barat"
Jakarta Barat,DKI Jakarta,KK LPO JKB Kalideres,"Jl. Peta Selatan No.16 , Jakarta Barat"
Jakarta Barat,DKI Jakarta,KK LPO JKB Kebun Jeruk,"Jl. Raya Meruya Ilir No.7 , Jakarta Barat"
Jakarta Barat,DKI Jakarta,KK LPO JKB Palmerah,"Jl. Anggrek Rosliana No.27 , Jakarta Barat"
Jakarta Barat,DKI Jakarta,KK LPO JKB Tegal Alur,"Jl. Raya Kamal No.32 , Jakarta Barat"
Jakarta Barat,DKI Jakarta,KK LPO Slipi,"Jl. KS Tubun III.B No.32 Jakarta 11410 , Jakarta Barat"
