City,Provinsi,Cabang,Alamat
Jakarta Barat,DKI Jakarta,KCU ASEMKA,"Jln. Asemka 27-30  Jakarta Barat, JK 11110"
Jakarta Barat,DKI Jakarta,KCU DAAN MOGOT,"Jln. Daan Mogot No. 95  Jakarta Barat, JK 11460"
Jakarta Barat,DKI Jakarta,KCU GAJAH MADA,"Jln. Gajah Mada 112 B-C-D  Jakarta Barat, JK 11120"
Jakarta Barat,DKI Jakarta,KCU GREEN GARDEN,"Perum. Green Garden  Blok A.7 No.33-34  Jakarta Barat, JK 11520"
Jakarta Barat,DKI Jakarta,KCU KEDOYA PERMAI,"Ruko Taman Kedoya Permai  Blok A 1A No.4-5, 1B, 2A, 2B  Jakarta Barat, JK 11530"
Jakarta Barat,DKI Jakarta,KCU PURI INDAH,"Gedung C3 LT.1-3  Komplek Puri Indah Blok 02 No.1-3  Kembangan  Jakarta Barat, JK 11610"
Jakarta Barat,DKI Jakarta,KCU TAMAN DUTA MAS,"Jln. Tubagus Angke No. 10 ABC dan 11 H  Jakarta Barat, JK 11460"
Jakarta Barat,DKI Jakarta,KCU WISMA ASIA,"Wisma Asia  Jln. S. Parman Kav. 79  Jakarta Barat, JK 11420"
Jakarta Barat,DKI Jakarta,KCP Angke,"Jln. Tubagus Angke No. 37. Jakarta Barat, 11320"
Jakarta Barat,DKI Jakarta,KCP Arjuna,"Jl.Arjuna Utara No.7D-E. Jakarta Barat, 11510"
Jakarta Barat,DKI Jakarta,KCP Bandengan Utara Raya,"Jln. Bandengan Utara Raya 1A. Jakarta Barat, 11240"
Jakarta Barat,DKI Jakarta,KCP Bina Nusantara,"Kamp.II Univ.Bina Nusantara,Jln.Anggrek Cakra 10 Kebon Jeruk. Jakarta Barat, 11530"
Jakarta Barat,DKI Jakarta,KCP Bojong Indah,"Komp. Bojong Indah Cengkareng, Jln. Pakis Raya 88 H. Jakarta Barat, 11740"
Jakarta Barat,DKI Jakarta,KCP Business Park,"Rukan Business Park Blok B-1 & B-2, Jln. Meruya Ilir No. 88. Jakarta Barat, 11620"
Jakarta Barat,DKI Jakarta,KCP Cengkeh,"Jln. Cengkeh 21-21A. Jakarta Barat, 11110"
Jakarta Barat,DKI Jakarta,KCP Central Park,"Komplek Central Park Ruko Garden Shopping Arcade Blok Beaufort 8 nomor EC. Jakarta Barat, 11470"
Jakarta Barat,DKI Jakarta,KCP Citra 2 Ext,"Ruko Citra Garden II EXT Blok BE 01 A / 01 & 02. Jakarta Barat, 11830"
Jakarta Barat,DKI Jakarta,KCP Citra Garden,"Perum. Citra Garden I Blok I.1/4. Jakarta Barat, 11840"
Jakarta Barat,DKI Jakarta,KCP Citra Garden II,"Perum. Citra Garden II Ruko Citra Niaga Blok B No. 1 & 2. Jakarta Barat, 11830"
Jakarta Barat,DKI Jakarta,KCP Daan Mogot Baru,"Rukan Pusat Bisnis Daan Mogot Baru Blok KJF No. 9 & 10. Jakarta Barat, 11840"
Jakarta Barat,DKI Jakarta,KCP Daan Mogot Dua,"Jln. Daan Mogot No. 48 A. Jakarta Barat, 11450"
Jakarta Barat,DKI Jakarta,KCP Duri Raya,"Jln. Duri Raya 37 B. Jakarta Barat, 11270"
Jakarta Barat,DKI Jakarta,KCP Glodok Plaza,"Pertokoan Glodok Plaza Blok E/7-8, Jln. Pinangsia Raya 1. Jakarta Barat, 11110"
Jakarta Barat,DKI Jakarta,KCP Green Ville,"Komp.Green Ville Blok AS No.42, Kepa Duri – Kebon Jeruk. Jakarta Barat, 11520"
Jakarta Barat,DKI Jakarta,KCP Grogol Muwardi,"Jln. Muwardi 1/44. Jakarta Barat, 11450"
Jakarta Barat,DKI Jakarta,KCP Grogol Permai,"Pert.Grogol Permai Blok F 3-4, Jln. Prof. Latumenten. Jakarta Barat, 11460"
