City,Provinsi,Cabang,Alamat
Jakarta Barat,DKI Jakarta,KC Daan Mogot,"Jl. Daan Mogot  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KC Green Ville,"Komplek Perumahan dan Perkantoran  Green Ville Real Estate Blok BG No. 31-36  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KC Kota,"Jl. Lapangan Stasiun No. 2  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KC Kyai Tapa,"Jl. Kyai Tapa No. 99  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Botanical Garden,"Komplek Puri Botanical Blok H7 No.3,  Jl. Raya Joglo  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Citra Garden,"Jl. Peta Selatan No. 6 A-B,  Kalideres  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Daan Mogot Baru,"Pertokoan Daan Mogot Baru,  Jl. Jimbaran Blok 7 B No. 14  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Gedung Pusri,"Jl. Taman Anggrek  Kemanggisan Jaya  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Glodok Plaza,"Ruko Glodok Plaza Blok H No.45-46,  Jl. Pinangsia Raya  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Glodok Sky,"Pasar Glodok Lt. 2 A.LO2 BKS039,  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Grogol Muwardi,"Jl. Dr. Muwardi II No. 15 A,  Grogol, Petamburan  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Jalan Panjang,"Jl. Panjang No. 5 A,  Kebon Jeruk  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Jelambar,"Jl. Pangeran Tubagus Angke No. 10  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Jelambar Baru,"Ruko Jelambar Baru,  Jl.Jelambar Baru Raya No. 6B,  Grogol, Petamburan  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Jembatan Lima,"Jl. K.H. Moch. Mansyur No. 222  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Kalideres,"Jl. Utama Raya Blok B No. 57 A-B,  Cengkareng  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Kebon Jeruk Perjuangan,"Jl. Perjuangan No. 9 B,  Kebon Jeruk  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Kedoya,"Rukan Golden Green No. 21,  Jl. Arteri Kedoya  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Kemanggisan,"Jl. Budi Raya No. 7 A-B,  Kemanggisan  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Kepa Duri,"Jl. Mangga Raya Blok Y No. 20  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Ketapang Indah,"Komplek Ketapang Indah,  Jl. K.H. Zainal Arifin Blok A1  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Latumenten,"Jl. Prof.DR. Latumetten No. 17 E  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Lindeteves,"Lindeteves Trade Center Blok RA No. 50,  Jl. Hayam Wuruk No. 127  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Mal Puri Indah,"Komplek Mal Puri Indah,  Lantai Dasar Unit 80,  Jl. Puri Agung,  Puri Indah  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Mal Taman Anggrek,"Mal Taman Anggrek, Ground Level C 13A & C 13Z,  Jl. Let.Jend S.Parman Kav.21  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Mangga Besar,"Jl. Mangga Besar Raya No. 73-75  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Pasar Cengkareng,"Jl Bangun Nusa Raya No.2A  RT002 RW 02, Kel. Cengkareng Timur,  Kec. Cengkareng  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Pasar Meruya Kembangan,"Jl. Haji Lebar Kaveling DKI Blok 99 No. 7 D,  Kembangan  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Pancoran Glodok,"JL. Toko Tiga Seberang No. 35  RT.008 RW.002, Glodok,  Kec.Tamansari,  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Pejagalan,"Jl. Pejagalan Raya No. 85 F/C,  Tambora  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Pinangsia,"Jl. Pinangsia II No. 3 D,  Taman Sari  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Podomoro City,"Central Park Shop Unit L-118 Lower Ground Floor,  Jl Letjend S. Parman  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Pos Pengumben,"Kompleks Intercon Megah Blok W.3 No. 20,  Jl. Raya Joglo  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Puri Indah,"Jl. Puri Indah Raya Ruko Blok I / 1  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Puri Kencana,"Komplek Puri Bugar,  Jl. Kencana Utama Raya Blok L6/G  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Rawa Belong,"Jl. Kebon Jeruk Raya No. 24,  Batusari – Kebon Jeruk  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP S. Parman,"Wisma Barito Pacific,  Jl. S. Parman Kav. 62-63,  Slipi  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Slipi Jaya,"Gedung Slipi Jaya  Jl. Letjend. S. Parman Kav. 17-18,   Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Taman Kebon Jeruk,"Jl. Meruya Ilir Blok A No. 19  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Taman Kedoya Baru,"Ruko Agave Blok B1/12A,  Jl. Agave Kedoya  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Taman Palem Lestari,"Jl. Boulevar Taman Palem Lestari Blok D1 No. 19  Jakarta Barat, JK"
